community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	iSDY_1059	iUMNK88_1353	M_cu2_e	0.5	0.06	1	0.03
all	minimal	iSDY_1059	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iSDY_1059	iUMNK88_1353	M_glyc3p_e	0.5	0.06	1	0.03
all	minimal	iSDY_1059	iUMNK88_1353	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iSDY_1059	iUMNK88_1353	M_pi_e	0.5	0.94	1	0.47
all	minimal	iSDY_1059	iUMNK88_1353	M_xtsn_e	0.5	0.94	1	0.47
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_glyc3p_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_thymd_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iYL1228	M_cys__L_e	1.0	1.0	1	1.0
all	minimal	iEC1356_Bl21DE3	iYL1228	M_fe3_e	1.0	1.0	1	1.0
all	minimal	iEC1356_Bl21DE3	iYL1228	M_glyc3p_e	1.0	1.0	1	1.0
all	minimal	iEC1356_Bl21DE3	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_glyc3p_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_thymd_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_cpgn_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_gthrd_e	0.5	1.0	1	0.5
